İlanda İstenilen Bölüm Bilgisi,2019-1,2019-10,2019-11,2019-12,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2020-1,2020-10,2020-11,2020-12,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9
Kimya Öğretmenliği,0,1,2,1,1,1,1,1,1,1,2,2,2,3,0,3,1,3,1,0,1,0,3,1
Klinik Eczacılık,0,0,0,1,0,2,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1
Konaklama ve Turizm İşletmeciliği,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kontrol Mühendisliği,2,2,0,1,3,1,1,2,3,1,1,3,1,0,3,4,2,0,0,0,3,3,2,4
Kontrol ve Otomasyon Mühendisliği,0,2,1,1,1,1,1,2,1,0,0,0,2,4,2,2,1,0,0,0,1,0,0,3
Kore Dili ve Edebiyatı,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Kozmetik Teknolojisi (MYO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kuyumculuk ve Takı Tasarımı (MYO),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kültür Yönetimi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lastik ve Plastik Teknolojisi (MYO),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lojistik (MYO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lojistik Yönetimi,1,2,0,3,1,0,2,0,1,0,1,0,0,0,2,0,2,1,0,0,0,0,1,2
MBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Maden (MYO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Maden Mühendisliği,1,1,1,2,1,0,1,0,2,1,0,2,0,2,0,0,2,1,0,0,1,0,0,0
Makina Resim Konstrüksiyon,0,2,1,0,0,1,0,0,1,0,4,2,1,0,0,0,0,0,0,0,1,0,0,0
Makine,4,3,1,3,0,1,1,0,0,0,5,0,3,1,0,1,2,0,1,1,1,0,1,1
Makine (MYO),1,1,0,2,2,1,1,1,0,0,4,4,0,1,4,1,1,5,0,0,0,0,3,3
Makine Mühendisliği,51,40,58,53,46,52,50,35,44,57,33,49,53,53,61,75,52,57,10,30,48,50,42,64
Makine Resim ve Konstrüksiyon ,1,1,1,1,1,2,0,0,2,0,3,2,1,0,1,1,1,0,0,0,1,0,1,2
Makine Resmi ve Konstrüksiyonu Öğretmenliği,1,1,1,0,1,2,0,1,1,0,3,1,1,0,0,1,1,0,0,0,1,0,0,2
Makine ve Metal Teknolojileri,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Makine-Resim-Konstrüksiyon (MYO),3,0,1,2,2,0,0,0,2,0,3,2,1,2,0,0,1,0,0,1,1,1,0,1
Maliye,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Maliye (MYO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Malzeme Bilimi ve Mühendisliği,0,2,4,0,4,0,5,0,3,0,1,1,2,2,1,5,2,2,0,1,1,0,1,0
